18:20:01.189817 START Mgen Version 5.02
18:20:01.202329 LISTEN proto>UDP port>5001
18:21:01.213012 ON flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:21:01.213653 ON flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:21:01.214050 ON flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:21:01.214446 ON flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:21:01.214813 ON flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:21:01.215209 ON flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:21:01.215575 ON flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:21:01.215972 ON flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:21:01.216369 ON flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:21:01.216766 ON flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:21:01.218383 ON flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:21:01.218780 ON flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:21:01.219177 ON flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:21:01.219573 ON flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:21:01.219940 ON flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:21:01.220336 ON flow>22 srcPort>5001 dst>10.1.1.22/5001 
18:21:01.220702 ON flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:21:01.221099 ON flow>20 srcPort>5001 dst>10.1.1.20/5001 
18:21:01.221496 ON flow>21 srcPort>5001 dst>10.1.1.21/5001 
18:21:01.221862 ON flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:21:01.222259 ON flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:21:01.222625 ON flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:21:01.223022 ON flow>26 srcPort>5001 dst>10.1.1.26/5001 
18:21:01.223419 ON flow>27 srcPort>5001 dst>10.1.1.27/5001 
18:21:01.223785 ON flow>28 srcPort>5001 dst>10.1.1.28/5001 
18:21:01.224181 ON flow>23 srcPort>5001 dst>10.1.1.23/5001 
18:21:01.224548 ON flow>24 srcPort>5001 dst>10.1.1.24/5001 
18:21:01.224944 ON flow>25 srcPort>5001 dst>10.1.1.25/5001 
18:21:01.225341 ON flow>33 srcPort>5001 dst>10.1.1.33/5001 
18:21:01.225738 ON flow>34 srcPort>5001 dst>10.1.1.34/5001 
18:21:01.226135 ON flow>36 srcPort>5001 dst>10.1.1.36/5001 
18:21:01.226531 ON flow>30 srcPort>5001 dst>10.1.1.30/5001 
18:21:01.227081 ON flow>31 srcPort>5001 dst>10.1.1.31/5001 
18:21:01.227477 ON flow>32 srcPort>5001 dst>10.1.1.32/5001 
18:21:01.227874 ON flow>29 srcPort>5001 dst>10.1.1.29/5001 
18:21:01.228240 ON flow>40 srcPort>5001 dst>10.1.1.40/5001 
18:21:01.228637 ON flow>37 srcPort>5001 dst>10.1.1.37/5001 
18:21:01.229034 ON flow>38 srcPort>5001 dst>10.1.1.38/5001 
18:21:01.229431 ON flow>39 srcPort>5001 dst>10.1.1.39/5001 
18:25:01.215734 OFF flow>5 srcPort>5001 dst>10.1.1.5/5001 
18:25:01.215825 OFF flow>6 srcPort>5001 dst>10.1.1.6/5001 
18:25:01.215978 OFF flow>7 srcPort>5001 dst>10.1.1.7/5001 
18:25:01.216039 OFF flow>1 srcPort>5001 dst>10.1.1.1/5001 
18:25:01.216130 OFF flow>2 srcPort>5001 dst>10.1.1.2/5001 
18:25:01.216192 OFF flow>3 srcPort>5001 dst>10.1.1.3/5001 
18:25:01.216863 OFF flow>4 srcPort>5001 dst>10.1.1.4/5001 
18:25:01.216954 OFF flow>13 srcPort>5001 dst>10.1.1.13/5001 
18:25:01.217595 OFF flow>14 srcPort>5001 dst>10.1.1.14/5001 
18:25:01.219671 OFF flow>15 srcPort>5001 dst>10.1.1.15/5001 
18:25:01.219762 OFF flow>10 srcPort>5001 dst>10.1.1.10/5001 
18:25:01.219823 OFF flow>11 srcPort>5001 dst>10.1.1.11/5001 
18:25:01.220403 OFF flow>12 srcPort>5001 dst>10.1.1.12/5001 
18:25:01.220983 OFF flow>8 srcPort>5001 dst>10.1.1.8/5001 
18:25:01.221044 OFF flow>9 srcPort>5001 dst>10.1.1.9/5001 
18:25:01.221624 OFF flow>22 srcPort>5001 dst>10.1.1.22/5001 
18:25:01.222204 OFF flow>19 srcPort>5001 dst>10.1.1.19/5001 
18:25:01.222265 OFF flow>20 srcPort>5001 dst>10.1.1.20/5001 
18:25:01.222844 OFF flow>21 srcPort>5001 dst>10.1.1.21/5001 
18:25:01.223424 OFF flow>16 srcPort>5001 dst>10.1.1.16/5001 
18:25:01.223485 OFF flow>17 srcPort>5001 dst>10.1.1.17/5001 
18:25:01.224065 OFF flow>18 srcPort>5001 dst>10.1.1.18/5001 
18:25:01.224645 OFF flow>26 srcPort>5001 dst>10.1.1.26/5001 
18:25:01.224706 OFF flow>27 srcPort>5001 dst>10.1.1.27/5001 
18:25:01.225286 OFF flow>28 srcPort>5001 dst>10.1.1.28/5001 
18:25:01.225377 OFF flow>23 srcPort>5001 dst>10.1.1.23/5001 
18:25:01.225957 OFF flow>24 srcPort>5001 dst>10.1.1.24/5001 
18:25:01.226537 OFF flow>25 srcPort>5001 dst>10.1.1.25/5001 
18:25:01.226598 OFF flow>33 srcPort>5001 
